Specie, ITS_1+2
Ceanothus leucodermis,AF048920
Ceanothus parvifolius,AF048927
Ceanothus cyaneus,AF048906
Ceanothus foliosus,HQ325321
Ceanothus integerrimus,AF048918
Ceanothus lemmonii,AF048919
Ceanothus griseus,AF048912
Ceanothus palmeri,AF048924
Ceanothus dentatus,AF048907
Ceanothus papillosus,HQ325338
Ceanothus thyrsiflorus,AF048930
Ceanothus arboreus,AF048902
Ceanothus ochracea,AF048922
Ceanothus parryi,AF048926
Ceanothus hearstiorum,AF048914
Ceanothus spinosus,AF048929
Ceanothus impressus,AF048916
Ceanothus tomentosus,AF048931
Ceanothus oliganthus,HQ325335
Ceanothus coeruleus,AF048904
Ceanothus herbaceus,AF048913
Ceanothus americanus,AF048901
Ceanothus cordulatus,AF048905
Ceanothus incanus,AF048917
Ceanothus martinii,AF048921
Ceanothus fendleri,AF048909 
Ceanothus buxifolius,AF048903
Ceanothus velutinus,AF048932
Ceanothus sanguineus,AF048928
Ceanothus diversifolius,AF048908
Ceanothus ophiochilus,AF048958
Ceanothus greggii,AF048946
Ceanothus ferrisae,AF048941
Ceanothus crassifolius,AF048934
Ceanothus fresnensis,AF048942
Ceanothus pinetorum,AF048959
Ceanothus lanuginosus,AF048949
Ceanothus gloriosus,AF048943 
Ceanothus jepsonii,AF048947
Ceanothus cuneatus,AF048935
Ceanothus sonomensis,AF048964
Ceanothus masonii,AF048951 
Ceanothus maritimus,AF048950
Ceanothus roderickii,NA
Ceanothus prostratus,AF048960
Ceanothus purpureus,AF048962
Ceanothus divergens,AF048940
Ceanothus confusus,AF048933
Ceanothus verrocosus,AF048972
Ceanothus megacarpus,AF048956
Ceanothus pumilus,AF048961
